position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Isaias Afwerki,Q57348,1993-05-19,male,1946-02-02,,Eritrean President Isaias Afwerki in the Eritrean city of Massawa (cropped).JPG,Isaias Afwerki
Minister of Agriculture,Arefaine Berhe,Q4788748,1997,male,,,Arefaine Berhe.jpg,Arefaine Berhe
Minister of Defence,Sebhat Ephrem,Q11999779,1995,male,1951,,Sebhat Ephrem.png,Sebhat Ephrem
Minsiter of Education,Semere Russom,Q7449239,2007-04-18,male,1943-07-27,,,Semere Russom
Minister of Energy and Mining,Ahmed Haj Ali,Q4695838,2011,male,,,,Ahmed Haj Ali
Minister of Finance,Berhane Habtemariam,Q4891779,2012,male,,,,Berhane Habtemariam
Minister of Fisheries,Tewolde Kelati,Q110535800,2011,,,,,
Minister of Foreign Affairs,Osman Saleh Mohammed,Q58163,2007-04-18,male,1948,,Osman Saleh Mohammed.jpg,Osman Saleh Mohammed
Minister of Health,Amna Nurhusein,Q4747349,2009,female,,,,Amna Nurhusein
Minister of Information,Ali Abdu Ahmed,Q4724540,2004,male,,,,Ali Abdu Ahmed
Minister of Justice,Fozia Hashim,Q3080243,1993,female,1956,,,Fozia Hashim
Minister of Labour and Social Welfare,Selma Hassan,Q3380461,2011,female,,,,Selma Hassan
"Minister of Land, Water, and the Environment",Tesfai Ghebreselassie,Q7705455,2011,male,,,,Tesfai Ghebreselassie
Minister for National Development,Gergis Teklemichael,Q5550601,2011,male,,,,Gergis Teklemichael
Minister of Public Works,Abraha Asfaha,Q4668714,2011,male,,,,Abraha Asfaha
Minister of Tourism,Askalu Menkerios,Q4807116,2011,female,,,,Askalu Menkerios
Minister of Trade & Industry,Estifanos Habte,Q11967985,2011,male,,,,
Minister of Transport and Communications,Woldemichael Abraha,Q8029742,2004,male,,,,Woldemichael Abraha
Governor of the Central Bank,Kibreab Woldemariam,Q110535654,2004,,,,,
Chief of Staff of the Armed Forces,Filipos Woldeyohannes,Q5448674,2014-03-19,male,,,,Filipos Woldeyohannes
